call_id,rep_id,prescriber_id,call_date,feedback_score
77,REP0404,DOC02998,2026-01-17,
78,REP0037,DOC04509,2026-01-04,8.0
79,REP0201,DOC03212,2026-02-21,3.0
80,REP0358,DOC01976,2025-07-28,8.0
81,REP0049,DOC03156,2025-09-07,5.0
82,REP0275,DOC00421,2025-12-11,7.0
83,REP0439,DOC01730,2026-01-21,6.0
84,REP0168,DOC02836,2026-04-12,5.0
85,REP0263,DOC04364,2025-05-15,2.0
86,REP0133,DOC02086,2025-05-20,9.0
87,REP0495,DOC02386,2025-12-03,7.0
88,REP0298,DOC01778,2025-10-07,7.0
89,REP0344,DOC02378,2025-06-24,5.0
90,REP0176,DOC04295,2025-09-20,3.0
91,REP0489,DOC02858,2025-06-03,9.0
92,REP0391,DOC04101,2025-12-31,10.0
93,REP0011,DOC01456,2026-04-16,8.0
94,REP0201,DOC00989,2026-01-12,6.0
95,REP0433,DOC04991,2025-09-08,2.0
96,REP0414,DOC01891,2026-03-06,7.0
97,REP0297,DOC02483,2025-12-15,
98,REP0003,DOC00650,2025-12-25,8.0
99,REP0214,DOC01829,2025-11-15,6.0
100,REP0296,DOC02429,2025-12-10,10.0
101,REP0307,DOC04675,2025-05-18,9.0
102,REP0468,DOC02318,2026-03-10,8.0
103,REP0032,DOC00047,2025-06-25,7.0
104,REP0048,DOC04461,2025-12-17,1.0
105,REP0327,DOC02116,2025-05-21,10.0
106,REP0252,DOC02255,2026-03-16,9.0
107,REP0199,DOC00073,2025-06-11,8.0
108,REP0404,DOC03458,2025-11-08,1.0
109,REP0089,DOC02023,2025-09-02,1.0
110,REP0109,DOC04086,2026-05-13,3.0
111,REP0291,DOC02078,2026-03-14,3.0
112,REP0108,DOC01027,2025-12-12,2.0
113,REP0408,DOC01544,2026-04-20,8.0
114,REP0040,DOC04617,2026-02-16,5.0
115,REP0461,DOC04497,2025-05-19,1.0
116,REP0052,DOC02037,2026-01-12,1.0
117,REP0112,DOC04750,2026-02-07,2.0
118,REP0295,DOC00848,2025-08-30,7.0
119,REP0068,DOC04081,2026-03-10,9.0
120,REP0189,DOC01496,2025-07-13,9.0
121,REP0332,DOC00935,2026-03-15,
122,REP0209,DOC01396,2026-03-21,10.0
123,REP0065,DOC00539,2025-08-15,6.0
124,REP0062,DOC03420,2025-11-13,5.0
125,REP0465,DOC00071,2026-01-05,10.0
126,REP0258,DOC00256,2025-09-03,10.0
127,REP0134,DOC02195,2026-03-29,8.0
128,REP0492,DOC00902,2025-11-09,6.0
129,REP0122,DOC00670,2026-01-19,8.0
130,REP0331,DOC01884,2026-02-22,1.0
131,REP0171,DOC00140,2025-11-10,4.0
132,REP0210,DOC02703,2026-03-07,10.0
133,REP0296,DOC02669,2025-11-14,5.0
134,REP0089,DOC01447,2025-11-19,4.0
135,REP0167,DOC02919,2026-01-24,6.0
136,REP0028,DOC03904,2025-09-25,7.0
137,REP0238,DOC04160,2025-05-28,8.0
138,REP0336,DOC01295,2025-06-03,8.0
139,REP0063,DOC00868,2026-01-01,5.0
140,REP0448,DOC02883,2026-01-05,8.0
141,REP0255,DOC04609,2025-08-16,3.0
142,REP0396,DOC01417,2025-06-15,3.0
143,REP0041,DOC03073,2025-09-01,1.0
144,REP0500,DOC03333,2026-04-16,10.0
145,REP0029,DOC04964,2025-11-11,1.0
146,REP0279,DOC04874,2026-03-29,1.0
147,REP0469,DOC02583,2025-11-10,10.0
148,REP0080,DOC00359,2025-09-23,3.0
149,REP0051,DOC01501,2025-09-24,8.0
150,REP0112,DOC01939,2025-08-01,9.0
151,REP0361,DOC00815,2025-10-02,3.0
152,REP0301,DOC00596,2026-01-09,8.0
153,REP0090,DOC00227,2025-10-25,10.0
154,REP0229,DOC02996,2025-10-29,
155,REP0150,DOC03836,2026-01-27,3.0
156,REP0243,DOC04913,2025-07-13,1.0
157,REP0138,DOC03319,2026-01-12,10.0
158,REP0135,DOC02065,2026-04-28,9.0
159,REP0457,DOC02352,2025-07-13,3.0
160,REP0089,DOC01538,2025-06-08,10.0
161,REP0494,DOC01365,2026-03-28,10.0
162,REP0015,DOC02829,2026-03-08,5.0
163,REP0333,DOC01085,2025-12-19,10.0
164,REP0362,DOC00267,2025-11-23,10.0
165,REP0174,DOC01271,2025-11-05,7.0
166,REP0090,DOC00035,2025-11-07,9.0
167,REP0213,DOC04882,2026-05-01,7.0
168,REP0343,DOC00068,2025-09-26,1.0
169,REP0061,DOC00189,2025-11-28,7.0
170,REP0364,DOC04137,2025-08-12,7.0
171,REP0220,DOC04704,2025-11-26,2.0
172,REP0061,DOC00683,2025-07-03,7.0
173,REP0307,DOC02955,2026-02-10,2.0
174,REP0166,DOC03139,2025-09-13,1.0
175,REP0012,DOC01332,2025-10-11,9.0
176,REP0216,DOC03191,2026-02-27,10.0
177,REP0077,DOC00853,2025-05-31,10.0
178,REP0232,DOC03059,2026-01-29,5.0
179,REP0112,DOC00757,2026-02-17,7.0
180,REP0066,DOC03997,2025-09-19,10.0
181,REP0182,DOC01695,2025-12-04,6.0
182,REP0423,DOC01308,2026-04-26,8.0
183,REP0204,DOC02596,2025-05-23,10.0
184,REP0423,DOC01219,2025-07-08,3.0
185,REP0371,DOC00484,2025-11-04,4.0
186,REP0206,DOC04684,2026-04-16,2.0
187,REP0286,DOC03989,2025-05-14,5.0
188,REP0105,DOC03550,2025-07-29,10.0
189,REP0242,DOC01122,2026-02-21,1.0
190,REP0235,DOC00282,2025-08-21,5.0
191,REP0176,DOC00630,2025-09-27,8.0
192,REP0211,DOC02467,2026-04-12,6.0
193,REP0031,DOC04319,2025-09-04,10.0
194,REP0235,DOC04176,2025-09-04,9.0
195,REP0242,DOC04922,2026-04-09,6.0
196,REP0491,DOC02730,2025-11-17,9.0
197,REP0153,DOC03465,2026-03-30,6.0
198,REP0196,DOC02382,2025-05-15,3.0
199,REP0498,DOC02937,2025-11-04,3.0
200,REP0435,DOC01352,2025-06-20,1.0
201,REP0269,DOC02306,2025-11-06,10.0
202,REP0484,DOC03439,2025-05-26,8.0
203,REP0447,DOC00837,2025-09-18,7.0
204,REP0384,DOC03450,2025-07-28,5.0
205,REP0170,DOC04551,2025-08-29,4.0
206,REP0438,DOC02067,2025-07-30,3.0
207,REP0357,DOC03002,2026-01-19,3.0
208,REP0323,DOC00433,2026-04-07,9.0
209,REP0336,DOC04348,2025-12-23,
210,REP0474,DOC04892,2026-04-25,4.0
211,REP0232,DOC03915,2025-08-24,9.0
212,REP0184,DOC03634,2025-07-08,
213,REP0359,DOC02958,2025-07-24,10.0
214,REP0275,DOC02786,2026-01-24,9.0
215,REP0430,DOC00221,2025-10-13,3.0
216,REP0399,DOC02161,2025-12-16,5.0
217,REP0032,DOC04656,2025-06-30,4.0
218,REP0177,DOC02245,2026-03-01,10.0
219,REP0405,DOC03809,2025-11-19,4.0
220,REP0065,DOC00780,2025-12-28,4.0
221,REP0198,DOC02263,2025-11-11,6.0
222,REP0027,DOC04732,2025-08-02,
223,REP0151,DOC01040,2025-08-21,3.0
224,REP0303,DOC02281,2026-02-07,2.0
225,REP0479,DOC01804,2026-04-02,8.0
226,REP0268,DOC01389,2025-09-23,9.0
227,REP0085,DOC03509,2025-08-05,7.0
228,REP0500,DOC02119,2025-12-21,4.0
229,REP0066,DOC03784,2025-07-21,7.0
230,REP0133,DOC04056,2026-02-05,2.0
231,REP0393,DOC01583,2025-06-02,3.0
232,REP0404,DOC04018,2025-12-28,10.0
233,REP0366,DOC03446,2026-03-04,2.0
234,REP0082,DOC00458,2026-04-25,8.0
235,REP0381,DOC04307,2026-01-30,2.0
236,REP0319,DOC02819,2026-05-06,10.0
237,REP0470,DOC03332,2025-12-23,7.0
238,REP0328,DOC00677,2026-03-01,2.0
239,REP0098,DOC02143,2026-05-01,2.0
240,REP0073,DOC01414,2026-05-09,10.0
241,REP0327,DOC00906,2025-12-01,3.0
242,REP0030,DOC03392,2025-06-18,3.0
243,REP0125,DOC03992,2026-03-23,6.0
244,REP0210,DOC02223,2025-09-13,10.0
245,REP0475,DOC00112,2025-12-09,4.0
246,REP0272,DOC03380,2026-04-12,9.0
247,REP0213,DOC03874,2026-03-29,10.0
248,REP0133,DOC03152,2025-06-18,
249,REP0157,DOC01945,2025-07-11,8.0
250,REP0047,DOC02501,2026-03-25,10.0
251,REP0357,DOC00413,2025-05-13,3.0
252,REP0363,DOC04069,2026-03-21,9.0
253,REP0382,DOC02652,2025-05-25,4.0
254,REP0022,DOC00186,2025-10-08,3.0
255,REP0462,DOC01577,2025-06-03,9.0
256,REP0441,DOC03159,2025-08-03,4.0
257,REP0083,DOC04078,2026-01-20,6.0
258,REP0419,DOC00051,2025-06-25,7.0
259,REP0472,DOC01170,2025-07-29,1.0
260,REP0234,DOC04451,2025-09-10,1.0
261,REP0060,DOC00036,2026-04-10,2.0
262,REP0454,DOC00277,2025-07-19,10.0
263,REP0188,DOC02465,2025-05-21,2.0
264,REP0058,DOC00889,2025-07-10,4.0
265,REP0259,DOC00404,2025-11-24,1.0
266,REP0162,DOC04610,2025-12-11,10.0
267,REP0301,DOC02614,2026-03-20,7.0
268,REP0306,DOC02489,2026-05-02,6.0
269,REP0002,DOC03986,2025-05-31,6.0
270,REP0271,DOC03040,2026-01-23,9.0
271,REP0421,DOC02123,2026-02-08,4.0
272,REP0143,DOC01173,2026-01-10,8.0
273,REP0188,DOC04610,2025-12-31,2.0
274,REP0352,DOC02588,2025-07-23,8.0
275,REP0341,DOC00290,2025-08-07,10.0
276,REP0448,DOC02229,2025-05-25,6.0
277,REP0465,DOC02314,2025-09-28,8.0
278,REP0482,DOC04179,2025-12-02,3.0
279,REP0224,DOC01885,2026-01-31,4.0
280,REP0498,DOC03837,2025-05-27,6.0
281,REP0367,DOC01584,2026-01-25,1.0
282,REP0180,DOC01670,2025-08-23,1.0
283,REP0023,DOC02247,2025-06-15,8.0
284,REP0355,DOC00648,2025-09-24,6.0
285,REP0037,DOC03155,2025-09-02,4.0
286,REP0107,DOC00266,2025-05-22,5.0
287,REP0297,DOC03489,2025-07-19,7.0
288,REP0229,DOC02918,2025-12-24,8.0
289,REP0313,DOC02779,2026-05-11,10.0
290,REP0097,DOC04957,2026-04-15,7.0
291,REP0281,DOC00019,2026-05-08,7.0
292,REP0110,DOC03602,2026-03-16,7.0
293,REP0037,DOC04467,2025-12-31,4.0
294,REP0040,DOC03095,2026-01-22,5.0
295,REP0085,DOC03828,2026-01-07,10.0
296,REP0302,DOC04715,2026-04-18,7.0
297,REP0188,DOC00643,2025-08-23,3.0
298,REP0240,DOC01546,2025-10-05,5.0
299,REP0358,DOC02427,2025-11-15,7.0
300,REP0488,DOC00817,2025-07-17,2.0
301,REP0354,DOC02872,2025-07-22,7.0
302,REP0019,DOC02138,2026-02-25,6.0
303,REP0347,DOC02192,2026-04-28,8.0
304,REP0393,DOC02669,2025-12-05,7.0
305,REP0325,DOC00864,2025-06-29,
306,REP0261,DOC04300,2025-07-03,5.0
307,REP0473,DOC03628,2026-02-01,10.0
308,REP0410,DOC03592,2026-05-04,10.0
309,REP0403,DOC03373,2026-02-11,6.0
310,REP0158,DOC01931,2026-01-04,2.0
311,REP0484,DOC02201,2025-10-16,10.0
312,REP0304,DOC00529,2025-06-05,6.0
313,REP0112,DOC04063,2025-09-02,10.0
314,REP0144,DOC04435,2026-04-20,9.0
315,REP0256,DOC03584,2025-08-24,8.0
316,REP0455,DOC01533,2026-04-21,5.0
317,REP0018,DOC00556,2025-06-15,
318,REP0184,DOC03893,2025-07-15,10.0
319,REP0405,DOC02801,2025-08-27,10.0
320,REP0287,DOC00931,2026-01-10,2.0
321,REP0385,DOC02599,2025-09-06,10.0
322,REP0131,DOC04194,2026-04-29,3.0
323,REP0479,DOC00793,2025-11-28,9.0
324,REP0281,DOC02470,2025-09-16,7.0
325,REP0245,DOC04036,2025-10-29,8.0
326,REP0008,DOC04176,2025-11-21,9.0
327,REP0193,DOC04384,2026-04-13,3.0
328,REP0318,DOC02895,2025-10-03,
329,REP0391,DOC01770,2025-10-16,4.0
330,REP0007,DOC03918,2026-05-04,4.0
331,REP0136,DOC03151,2026-03-04,
332,REP0019,DOC04167,2026-03-24,5.0
333,REP0401,DOC04359,2026-02-24,4.0
334,REP0139,DOC00712,2026-02-01,6.0
335,REP0367,DOC02578,2025-08-06,7.0
336,REP0489,DOC04881,2026-03-16,8.0
337,REP0177,DOC04306,2025-08-10,3.0
338,REP0011,DOC04051,2025-07-26,4.0
339,REP0486,DOC02165,2025-06-09,1.0
340,REP0041,DOC03149,2025-06-09,1.0
341,REP0446,DOC04411,2025-06-01,5.0
342,REP0114,DOC01947,2025-11-02,1.0
343,REP0180,DOC01573,2025-06-07,9.0
344,REP0194,DOC04357,2025-12-26,3.0
345,REP0196,DOC03646,2025-11-28,10.0
346,REP0498,DOC00200,2025-09-03,9.0
347,REP0348,DOC02378,2025-10-29,5.0
348,REP0225,DOC04069,2025-09-10,2.0
349,REP0331,DOC00090,2025-09-08,9.0
350,REP0323,DOC00591,2025-09-13,7.0
351,REP0424,DOC00092,2026-01-28,6.0
352,REP0261,DOC03658,2026-04-20,1.0
353,REP0116,DOC02104,2026-04-04,3.0
354,REP0469,DOC03816,2025-12-05,5.0
355,REP0150,DOC01966,2025-08-30,5.0
356,REP0118,DOC04157,2025-11-11,5.0
357,REP0165,DOC02165,2026-01-27,3.0
358,REP0252,DOC00590,2025-07-17,4.0
359,REP0267,DOC04332,2025-09-03,6.0
360,REP0044,DOC02081,2025-06-12,
361,REP0470,DOC03639,2026-02-28,8.0
362,REP0489,DOC03315,2025-11-22,3.0
363,REP0181,DOC00786,2026-01-04,4.0
364,REP0077,DOC04117,2025-10-19,6.0
365,REP0374,DOC01889,2025-10-10,7.0
366,REP0116,DOC04046,2025-10-16,3.0
367,REP0445,DOC03785,2026-04-27,9.0
368,REP0067,DOC01178,2025-10-13,5.0
369,REP0013,DOC01278,2025-07-15,5.0
370,REP0092,DOC02966,2026-02-20,9.0
371,REP0246,DOC00302,2025-07-28,3.0
372,REP0267,DOC02345,2025-08-16,2.0
373,REP0139,DOC04869,2025-11-05,3.0
374,REP0341,DOC03216,2025-06-25,5.0
375,REP0244,DOC03316,2025-11-15,7.0
376,REP0341,DOC04515,2025-07-14,7.0
377,REP0391,DOC00062,2026-04-01,3.0
378,REP0273,DOC00858,2025-07-15,10.0
379,REP0304,DOC00538,2026-01-10,9.0
380,REP0398,DOC01341,2025-09-23,8.0
381,REP0191,DOC04792,2026-03-16,5.0
382,REP0448,DOC00818,2025-09-29,2.0
383,REP0097,DOC03108,2025-05-24,10.0
384,REP0331,DOC00975,2025-07-15,10.0
385,REP0205,DOC04638,2026-01-18,4.0
386,REP0449,DOC03653,2026-04-17,8.0
387,REP0418,DOC03304,2025-12-29,8.0
388,REP0137,DOC01712,2025-08-12,1.0
389,REP0077,DOC00790,2026-03-25,1.0
390,REP0384,DOC02081,2025-11-14,4.0
391,REP0037,DOC00581,2025-08-26,6.0
392,REP0286,DOC02042,2025-10-30,3.0
393,REP0425,DOC00352,2026-03-06,1.0
394,REP0429,DOC02303,2026-01-09,4.0
395,REP0485,DOC01074,2026-01-01,6.0
396,REP0303,DOC02032,2026-01-07,5.0
397,REP0135,DOC04369,2026-03-25,1.0
398,REP0142,DOC01883,2026-03-07,
399,REP0254,DOC04346,2026-01-10,
400,REP0048,DOC01261,2026-01-30,10.0
401,REP0255,DOC00232,2025-12-13,6.0
402,REP0134,DOC00957,2025-07-16,6.0
403,REP0290,DOC04730,2025-07-27,9.0
404,REP0208,DOC04338,2026-01-10,8.0
405,REP0499,DOC02182,2025-12-18,7.0
406,REP0101,DOC01095,2025-11-15,10.0
407,REP0484,DOC03930,2026-04-08,4.0
408,REP0046,DOC03537,2025-12-27,3.0
409,REP0443,DOC03493,2025-11-05,3.0
410,REP0070,DOC03382,2025-07-06,3.0
411,REP0136,DOC01303,2025-11-14,10.0
412,REP0280,DOC04315,2025-06-14,
413,REP0067,DOC00697,2025-06-21,6.0
414,REP0004,DOC00307,2025-11-28,4.0
415,REP0224,DOC02024,2025-09-16,10.0
416,REP0001,DOC00314,2025-11-14,1.0
417,REP0290,DOC03475,2025-08-18,7.0
418,REP0109,DOC01403,2026-03-24,7.0
419,REP0265,DOC04377,2025-08-09,10.0
420,REP0063,DOC03399,2025-10-20,1.0
421,REP0460,DOC00035,2025-06-18,3.0
422,REP0266,DOC02118,2025-08-19,10.0
423,REP0138,DOC00360,2025-09-26,6.0
424,REP0434,DOC00408,2026-05-05,4.0
425,REP0044,DOC04676,2025-07-04,5.0
426,REP0374,DOC04702,2025-05-19,9.0
427,REP0432,DOC03110,2025-06-27,10.0
428,REP0471,DOC03934,2025-08-17,9.0
429,REP0262,DOC02093,2026-01-18,6.0
430,REP0216,DOC00137,2025-06-22,1.0
431,REP0121,DOC02871,2025-11-04,6.0
432,REP0152,DOC00979,2025-11-23,2.0
433,REP0213,DOC04916,2025-11-16,7.0
434,REP0234,DOC01485,2026-04-07,
435,REP0351,DOC02415,2026-03-05,2.0
436,REP0111,DOC03377,2025-06-07,8.0
437,REP0442,DOC00467,2026-04-11,8.0
438,REP0361,DOC04934,2025-06-09,5.0
439,REP0320,DOC00975,2025-05-29,
440,REP0222,DOC04719,2026-02-19,7.0
441,REP0440,DOC01923,2025-07-01,9.0
442,REP0226,DOC02598,2025-12-15,7.0
443,REP0210,DOC02652,2026-01-11,9.0
444,REP0396,DOC01800,2025-12-29,5.0
445,REP0419,DOC01016,2026-01-14,1.0
446,REP0071,DOC01749,2025-07-06,4.0
447,REP0489,DOC03318,2026-02-17,
448,REP0360,DOC00685,2025-12-19,2.0
449,REP0089,DOC03151,2025-08-05,9.0
450,REP0262,DOC01457,2025-11-09,2.0
451,REP0449,DOC00369,2025-07-27,1.0
452,REP0366,DOC04447,2025-08-25,5.0
453,REP0464,DOC04614,2026-02-10,2.0
454,REP0188,DOC01345,2025-07-17,6.0
455,REP0112,DOC04118,2026-05-06,2.0
456,REP0452,DOC00179,2026-03-22,6.0
457,REP0413,DOC02756,2026-04-03,6.0
458,REP0422,DOC01133,2025-11-07,10.0
459,REP0239,DOC01480,2025-06-27,2.0
460,REP0476,DOC03067,2025-09-25,2.0
461,REP0256,DOC04029,2025-12-17,
462,REP0150,DOC04627,2025-09-28,9.0
463,REP0127,DOC02412,2025-08-01,4.0
464,REP0392,DOC01921,2025-10-12,10.0
465,REP0319,DOC02473,2026-02-21,4.0
466,REP0480,DOC00959,2025-08-16,2.0
467,REP0481,DOC03288,2025-10-16,4.0
468,REP0397,DOC01072,2026-02-06,10.0
469,REP0411,DOC01489,2026-02-12,7.0
470,REP0402,DOC04768,2026-03-29,4.0
471,REP0274,DOC01934,2025-11-25,6.0
472,REP0333,DOC02017,2026-04-02,5.0
473,REP0470,DOC04975,2025-06-25,
474,REP0446,DOC03938,2026-02-22,3.0
475,REP0398,DOC03036,2026-02-02,3.0
476,REP0139,DOC03262,2026-02-24,5.0
477,REP0103,DOC02200,2025-11-04,4.0
478,REP0242,DOC01400,2026-03-03,5.0
479,REP0117,DOC02303,2026-02-16,1.0
480,REP0214,DOC04854,2026-01-22,4.0
481,REP0484,DOC04283,2025-10-13,6.0
482,REP0017,DOC00879,2026-03-28,7.0
483,REP0179,DOC04769,2026-01-15,8.0
484,REP0224,DOC04972,2026-01-19,
485,REP0270,DOC04214,2026-05-03,2.0
486,REP0490,DOC03695,2026-03-26,2.0
487,REP0313,DOC00871,2025-09-19,3.0
488,REP0349,DOC00706,2026-03-03,4.0
489,REP0134,DOC02690,2025-10-18,6.0
490,REP0114,DOC02260,2026-01-08,5.0
491,REP0441,DOC04582,2025-08-28,5.0
492,REP0132,DOC03868,2026-01-19,9.0
493,REP0139,DOC01578,2026-05-08,9.0
494,REP0365,DOC01968,2025-08-28,3.0
495,REP0232,DOC01253,2026-01-23,
496,REP0458,DOC01253,2026-03-03,1.0
497,REP0375,DOC03050,2025-07-01,4.0
498,REP0092,DOC04439,2025-12-13,8.0
499,REP0267,DOC03129,2026-05-07,9.0
500,REP0099,DOC01667,2025-07-15,5.0
501,REP0207,DOC04390,2026-05-06,2.0
502,REP0008,DOC00028,2025-08-31,8.0
503,REP0468,DOC03610,2025-07-22,8.0
504,REP0370,DOC01620,2025-09-27,9.0
505,REP0443,DOC02907,2025-06-13,6.0
506,REP0405,DOC01345,2026-04-30,9.0
507,REP0321,DOC03914,2025-08-10,10.0
508,REP0093,DOC03786,2026-04-04,10.0
509,REP0408,DOC04669,2025-09-26,8.0
510,REP0158,DOC03769,2026-01-18,5.0
511,REP0360,DOC03830,2025-06-17,4.0
512,REP0099,DOC00928,2026-02-07,
513,REP0225,DOC01779,2026-02-24,6.0
514,REP0340,DOC03104,2025-05-28,4.0
515,REP0441,DOC02445,2025-11-30,2.0
516,REP0208,DOC03089,2025-08-26,10.0
517,REP0073,DOC04466,2025-07-22,9.0
518,REP0479,DOC00164,2026-05-12,4.0
519,REP0401,DOC04000,2025-10-13,3.0
520,REP0059,DOC02758,2026-03-31,10.0
521,REP0287,DOC03574,2025-06-12,6.0
522,REP0064,DOC00351,2025-06-21,2.0
523,REP0256,DOC00201,2025-05-31,8.0
524,REP0048,DOC02553,2025-09-29,9.0
525,REP0279,DOC03929,2025-10-07,4.0
526,REP0198,DOC01052,2025-06-07,10.0
527,REP0158,DOC04433,2025-12-18,7.0
528,REP0311,DOC00287,2026-04-25,1.0
529,REP0007,DOC02679,2025-12-07,2.0
530,REP0248,DOC01796,2025-07-30,
531,REP0368,DOC03559,2025-11-14,5.0
532,REP0232,DOC00107,2026-02-06,10.0
533,REP0106,DOC02554,2025-10-07,8.0
534,REP0494,DOC03514,2026-01-15,2.0
535,REP0459,DOC00117,2026-03-10,2.0
536,REP0098,DOC01269,2026-01-19,10.0
537,REP0268,DOC00741,2025-11-04,
538,REP0060,DOC00023,2025-10-06,2.0
539,REP0500,DOC00361,2026-01-03,3.0
540,REP0308,DOC04094,2026-05-06,10.0
541,REP0493,DOC04796,2026-01-17,9.0
542,REP0495,DOC01451,2025-08-30,9.0
543,REP0411,DOC00217,2025-11-04,6.0
544,REP0140,DOC02755,2026-02-25,9.0
545,REP0397,DOC00628,2025-07-17,8.0
546,REP0328,DOC03268,2025-12-16,3.0
547,REP0464,DOC00567,2026-03-20,8.0
548,REP0190,DOC03759,2026-01-04,7.0
549,REP0125,DOC02491,2025-07-29,9.0
550,REP0413,DOC02021,2026-02-01,7.0
551,REP0163,DOC03531,2025-11-09,5.0
552,REP0060,DOC02507,2025-07-20,5.0
553,REP0413,DOC03556,2026-02-19,4.0
554,REP0031,DOC02192,2025-07-21,2.0
555,REP0333,DOC04410,2025-08-31,5.0
556,REP0076,DOC02923,2025-09-22,10.0
557,REP0243,DOC00729,2025-07-04,4.0
558,REP0317,DOC03329,2025-08-12,1.0
559,REP0258,DOC00474,2025-06-12,2.0
560,REP0417,DOC04781,2025-08-28,2.0
561,REP0456,DOC00606,2026-03-24,
562,REP0190,DOC03571,2026-04-29,2.0
563,REP0489,DOC01243,2026-03-27,10.0
564,REP0377,DOC03603,2026-05-11,7.0
565,REP0315,DOC03755,2026-02-25,3.0
566,REP0296,DOC04371,2025-06-05,2.0
567,REP0177,DOC03879,2026-03-22,8.0
568,REP0489,DOC01900,2025-11-29,2.0
569,REP0288,DOC03744,2025-08-04,
570,REP0294,DOC04848,2025-09-20,3.0
571,REP0348,DOC02265,2025-09-21,9.0
572,REP0207,DOC03146,2026-01-09,3.0
573,REP0215,DOC00676,2025-10-01,9.0
574,REP0344,DOC04054,2026-01-20,6.0
575,REP0141,DOC00710,2025-05-21,2.0
576,REP0085,DOC00923,2025-06-24,1.0
577,REP0182,DOC03400,2025-05-26,3.0
578,REP0332,DOC00408,2025-08-31,7.0
579,REP0128,DOC04244,2025-08-08,10.0
580,REP0269,DOC01110,2025-11-15,3.0
581,REP0039,DOC03593,2025-06-22,3.0
582,REP0023,DOC04599,2026-03-11,7.0
583,REP0242,DOC01789,2025-09-28,7.0
584,REP0366,DOC03960,2025-08-13,4.0
585,REP0107,DOC01491,2026-01-08,1.0
